Problem,Blog Name,URL,Person's Name,Location,Source,Description
,the IT Girl,http://www.theitgirl.in/,Mukta Jain,"Ludhiana , India",http://www.in-fb.com/p/infb-directory.html,"I had this dress lying shamelessly in my closet from more than a year,only because I did not find a perfect occasion to wear it. So finally it made its debut in Bali. Enjoy the pictures. Also, you can read my previous outfit post from Bali here. ~Live Love Laugh~ Mukt..."
,*GingerSnaps*,http://www.gingersnapsxoxo.com/,Karishma,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"We started from Mumbai early in the morning, but you know how it is, things hardly ever go as they are planned. Our journey came to an unexpected halt when our bus broke down. All of us contestants and the crew were left stranded somewhere on a highway where we had to wait for another bus to come to our rescue. And though it was scorching hot, we made the best out of the situation and started conversations with fellow contestants."
,All that jazz,http://fashion-andallthatjazz.blogspot.in/,Manika Aggarwal,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"After a lot of confusing crossroads, I finally reached a place I can call home. From makeup artistry to fashion designing to fashion journalism, to being a stylist and an accessories merchandiser and then working in an NGO! to designing accessories to going back to garment designing to finally coming back to accessories. Phew!"
,Artyheart,http://www.arty-heart.blogspot.com/,Pranita Kocharekar,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Hi! I'm Pranita Kocharekar from Mumbai,India. I'm an art student & a fashion enthusiast."
,Bombay Bubble,http://www.bombaybubble.com/,Anushka Hajela,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"My name is Anushka Hajela and I’m the girl you’ll see wearing sequins at the supermarket. I like strutting my stuff in outfits that are a little too too, which doesn’t always go down well where I’m from. Luckily for me, there’s a thick skin under all that moisturizer!"
,Candy Violeta,http://www.candyvioleta.blogspot.in/,Gargi Salgaonkar,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Hiii! Welcome to CandyVioleta, a fashion and style blog created by Gargi Salgaonkar. I write about all the latest fashion statements, my personal style,quick Do-it-yourself fixes with equally interesting beauty and make-up secrets. Other than that, Online - Shopping, Thrifting,Dancing, Reading auto biographies, posing, analyzing are favorite favs. Have a doubt? Mail me @ gargi2292@gmail.com"
,Cheaper by the Dozen,http://www.chpdzn.blogspot.com/,chp_dzn,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"The monsoon is on its way out, and we can't decide if we're glad we can finally wear all the whites and brights we feared wearing for the past 4 months, or if we're distressed by the terrible October heat!"
,Chic Accessorizer,http://www.chicaccessorizer.blogspot.in/,Pooja K.,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,elf confessed shopoholic..with a passion for accessories..hoping to share this passion with you
,Diary of a Dancebee,http://www.priyaadivarekar.com/,Priya Adivarekar,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"A style blogger, who currently works as a Journalist with a leading print media group. The twenty something young journalist is also a freelance Voice - Over Artist and Dance choreographer. Priya completed her post graduation in Journalism and mass communications from Xavier Institute of Communications. In the past, she has also worked as a Radio jockey"
Name Missing,eCandy,http://ecandy-ecandy.blogspot.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,FOR ALL UR STYLE QUERIES ! JOIN THE STYLE ECANDY PAGE ON FACEBOOK- http://www.facebook.com/pages/Style-ecandy/143459595692678
Name Missing,eccentric connoisseur,http://www.eccentricconnoisseur.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"I am but a small part of the city that never sleeps, but in my pursuit of happiness, I hope to enliven the hearts of many connoisseurs just like you! I have worked in event management and fashion magazine companies, and after having this broad exposure, I realized my love for fashion! The art of fashion, to be precise. I love styling, designing and going gaga over exquisite trends of the day. Eccentric Connoisseur is an amalgamation of my thoughts and perception about fashion."
,Fashion Bombay ,http://www.fashion-bombay.com/,Jasleen & Sonu,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"JSo Style is a fashion venture started by two writers/ stylists, Jasleen Kaur Gupta and Sonu Bohra. Fashion Bombay is an initiative to further that venture.As friends and partners, we are not only passionate about fashion but also believe that fashion be made into a sustainable and essential commodity. We noticed that in a place like India, people tend to dress up only for special occasions like weddings and parties; in the bargain they forget that fashion is actually an extension of who they are. At  Fashion Bombay we believe that fashion is a way of celebrating life and we want to spread the word."
Permission Denied,Fashion Daily,https://www.blogger.com/blogin.g?blogspotURL=http://fashiondaily88.blogspot.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"
"
By this Domain,Fashionably Ever After,http://fashionablyeverafter.co.in/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,
Name missing,Fashion Five,http://fashion5-shruti.blogspot.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,Welcome to Fashion Five where you get fashion and beauty trends at your fingertips.
,Fashion Most Wanted,http://fashionmostwanted.com/,Jeremi Cabral,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Fashionmostwanted.com is India’s premier online fashion and lifestyle webazine that scouts, explores and zooms in on all the essential aspects of Indian fashion and lifestyle. Fashion Most Wanted (FMW) captures the changing nature of fashion and lifestyle segments be it local and international fashion drifts, culinary aspects, travel options and trends in the beauty industry."
,Fashionopolis,http://fashion-opolis.blogspot.com/,Amena,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Let me start by introducing myself. My name is Amena and I am a fashion designer by profession. I spend my days designing and styling clothes. In that sense, I literally eat, breathe and sleep fashion! Along with fashion, I have always been passionate about all forms of arts, especially literature."
,Firefly,http://www.wellofdesign.blogspot.in/,Nishita Savalkar,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"I am a mumbai based freelance fashion designer/stylist. For PR activities/advertise/Contact, please email me on nsavalkar9@gmail.com"
,Giasaysthat,http://www.giasaysthat.com/,Gia kashyap,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Fashion/ Lifestyle blog : www.giasaysthat.com For Business enquiries only, contact : info@giasaysthat.com Questions? http://twitter.com/giasaysthat"
,Head2Heels,http://allthingsgirly35.blogspot.co.uk/,Emma,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Hello everyone, hope you all are doing well. :) This is a haul of all these things some i ve bought and some were gifted to me. So lets begin :"
,Indian Summer,http://indiansummer-aastha.blogspot.com/,aastha,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,Just trying to start a conversation that doesn't need
,In My Shoes,http://inmyshoess.wordpress.com/,Akansha Singh,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"A 20 something girl. Trying to find my place in this world. Little lost, little confused and totally in love with myself."
,I want it all,http://www.junewantsitall.com/,June.,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,I'm from an Army background and have lived all over India and spent a substantial ten years of my life in the city of Pune
,La Diva,http://ladivaindia.blogspot.in/,Kiran & Shuchita,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"We are Kiran and Shuchita, two friends who love fashion and this is our way of showcasing it. Read more: http://www.junewantsitall.com/p/about-me.html#ixzz32WTQD52r Under Creative Commons License: Attribution"
,Lazygulrox,http://lazygulrox.blogspot.com/,Lazygulrox,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"A girl who was in love with fashion...who would sit behind her computer screen and just look at the fashion world with an awe. Timid in experimenting, I just watched and let the time flow by. I love designing clothes but because of lack of basic drawing skills I was afraid to draw all the ideas I had in my mind. My mind was filled daily with different ideas and knowledge of this Fashion world. It was time to burst out and that is when I searched online and found the amazing site Girlsense and started designing there and kept my Username as Lazygulrox . But for me that was not enough and I started reading blogs and fell in love with the concept."
Name Missing,Love The World Today,http://ltwt.in/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Someday I’ll fill up this ‘About Me’ page. Until then, Trampoline lover, socks and saree collector ! I think I’m born in the wrong era. I belong to the flower power generation.You can reach me at dipna@ltwt.in"
Name Missing,Le Diary,http://styleunpacked.tumblr.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,A personal style journal by a Tomboy Girl
,Moda Ninja,http://modaninja.com/,Moda Ninja,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"@gurpreettalwar & @pallavising decided to start penning down their thoughts on style, fashion and all things nice. Check out modaninja.com http://www.modaninja.com"
Name Missing,Modish And Muse,http://www.sunitijham.blogspot.com/p/know-me.html,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,Modish And Muse is a delicate setting where fashion and fiction collide. Come and join me in my journey as I write my way through it. www.sunitijham.blogspot.com
Blog Not Found,Neon Nights,http://neon-night-lights.blogspot.in/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,
,Ri(t)ch Styles,http://www.ritchstyles.com/,Ritcha,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Our motto is to - Live a Ri(t)ch life Stylishly! Be it Fashion, Beauty, Food or Travel! :) www.RitchStyles.com"
,She Rocking Them Stilettos,http://sherockinthemstilettos.blogspot.com/,Renisha,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Hi, my name is Renisha , Fashion enthusiast & observer from Mumbai,India. By profession I am an HR Executive."
,Sister Tales,http://sistertales-pnp.blogspot.in/,Prajakta & Priyanka.,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Prajakta is a working professional and Priyanka a dental student. Both of us are seperated by a age gap of 9 yrs and non compatible sunsigns, but still our love for shopping, styling, food, family binds us together..."
Name Missing,Streak Hue Fall,http://www.streakhuefall.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"I am a freelance fashion features writer, contributing to editorials and magazines. Having acquired a diploma in hair designing, I am also working as a freelance hairstylist. Styling is another offshoot of my creative pursuits."
,Street Style,http://streetstyleindia.blogspot.in/,SAMIDHA SHARMA,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"I started Street Style in January 2010 with the intention of creating a place to capture interesting styles I saw around me and share it with everyone reading this. From a Facebook page to a blog and from being a Street Style chronicler to more of personal style diary- this blog has come a long, long way. While 2010 was a great year, 2011 was a bit of a lean period for my blog but now in its third year I hope to make changes and dedicate more time to this space."
,Style. Ok. Please,http://www.styleokplease.blogspot.in/,Bharti Singh,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Hi there. I am Bharti. I live in Bombay and I love collecting stories, quotes and photographs of people I meet. I am still trying to figure out how to approach strangers and request them to pose for my blog. So if you happen to bump in to a girl who asks you if she can take your pic, please be kind and say yes."
Name Missing,Style Aisle,http://style-aisle.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Be it Trends or Styles, Colors or Combinations!! Discussions, Comments or Likes ! Its open for all! Get your daily dose of style information! Looks, Steals & Offers.. From the most cost effective places to the higher end ones! Fashion Forecasting & Consulting."
Service Unavailable,Style Destino,http://www.styledestino.blogspot.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,
,Styledrive,http://www.styldrv.com/,Aayushi Bangur,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"www.styldrv.com - Styledrive is an alternative perception to fashion, style and its related nuances. It's a blog that encompasses current trends, styling ideas and product reviews."
Name Missing,Style Fiesta,http://www.stylefiestadiaries.com/p/about.html,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"I have to admit, selling fashion has got me too busy to find the time for talking fashion. But we always tend to find a way back to the things we love. Style Fiesta is a fashion blog encompassing personal outfits, inspirations, trend reports and the daily low-down of what’s happening in the style circuit. I’ve always believed that style doesn’t belong solely in clothes and bags- but resides colossally in comfort, how you're feeling, your opinions, your inspirations; and that is precisely the documentation that Style Fiesta and I, Masoom Minawala represent."
,Style File,http://www.stylefile.in/,Dayle Pereira,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"So dolls, if you haven't already heard the grand news; Dunkin' Donuts finally launched in Mumbai and to further heighten my excitement, I had the wonderful opportunity to attend an experiential workshop a day prior to their launch."
,Style High Street,http://www.stylehighstreet.in/,Vidhi Gandhi,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"In this scorching heat with a city like Mumbai reaching 50 degrees all you need is a cool refreshing drink to swirl you up. Apart from light and bright cottons and cool accessories what I need is a drink I can rely on to beat the heat and cope with the frustration of the humid climate. With Cafe Coffee Day available all over the city you cannot help to stop by and grab their Brain Freeze drink available in four flavours. Full of ice and flavour these drinks can take you in iceland. Yes, exactly what you need in this kind of weather! I love their Green Apple Meltdown and Berry Berg are two of my favourite flavours, very fruity and relaxing at 95INR."
,Style Seeker,http://styleseeker-nikki.blogspot.com/,Nikki,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"The best part about them is,You dont have to care about the color, All colors go well with some or the other outfit, Candy Pink or Serious Black,Both give a head-turner look.Blazers should be crisp ironed and properly fitted or they can end up as a weird disaster.I have seen many beautiful ladies flaunting their blazers and thats what created an urge in me to have one.."
Name Missing,Style Seekers,http://www.style-seekers.blogspot.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"A blog documenting Fashion, Street style and anything worth blogging."
Name Missing,Style Struck Diaries,http://www.stylestruckdiaries.blogspot.in/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"As is customary, I moved into my husband's house post marriage. 
The first week was a little confusing, you feel like you are waking up in a strange new place.
Slowly slowly I started adding a few of my touches here and there. 
Luckily my mil is a sweetheart and is more than happy for me to be 
decorating the house. As first project, I took over the guest bedroom. Its is now my study/office.
Currently only half of it is complete but I've enjoyed doing it up so much, I can't wait to start with the rest."
Blog Not Found,Styling with A,http://astylist.blogspot.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"
"
,Sugarry Lips Glittery Nails ,http://sugarrylipsglitterynails.blogspot.in/,Isha Paratkar,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"I am just an ordinary girl who loves to do extraordinary things.... I love music,my parents,friends and my family.I spend most of my time hanging out wid friends just like any other teenager..."
Permission denied,Taamra Segal,http://taamra.blogspot.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,
Noting found,Trillionaire talks fashion,http://trillionairefashion.wordpress.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,
,The Flea Market Queen,http://www.thefleamarketqueen.com/,Ila Johari,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Mermaids are the most mysterious characters in the land of fantasy, often considered supremely beautiful and feminine. A curvaceous figure , flowy tresses and delicate facial features sums up the perfect mermaid in folklore. I'm Aishwarya just crossed your mind ."
Blog not found,The Twisted Elegance,http://thetwistedelegance.blogspot.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,
,The Purplenista,http://www.thepurplenista.com/,Priyanka Chowdhury,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"All the products that I review in the blog have been bought by me. All the products are my own choice of products and I am not associated with any brand or organisations. If a product is sent by brand, then a disclosure will be mentioned at the end of the post. In any case, my opinions will be honest. Some products that work for me may not work for you because of the skin type."
Name Missing,The Fashion Code,http://thefashionco.blogspot.com/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"This is us sharing our stories and grand adventures and dipping our feet into the deep sartorial waters.More at http://thefashionco.blogspot.in/p/about-us.html  Mumbai, India   thefashionco.blogspot.in"
,Vivacious in Vogue,http://vivaciousinvogue.com/,Simin Lakhani,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"Fiercely Independent¤Blogger¤Dreamer¤Believer¤Explorer¤Online Fashion Store Entrepreneur Bombay, India   viv.co.in·   "
name Missing,What Wear How,http://www.whatwearhow.in/,,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,http://www.whatwearhow.in/
,When Geek Met Chic,http://www.whengeekmetchic.blogspot.com/,Aditi & Shruti,"Mumbai , India",http://www.in-fb.com/p/infb-directory.html,"We are Aditi and Shruti - aficionados, long time friends and lovers of big bright things. whengeekmetchic is an expression of our evolving style. A legal intern during the day, Aditi morphs into a fashion freak when the clock strikes mid-night, loving every bit of it. Shruti globe trotted for a while in discovery of her passion and much to her surprise, she realized it was Fashion. We hope you enjoy our endeavors in bidding adieu to geeky days and celebrating chic times. Email us whengeekmetchic@gmail.com"
Name Missings,Style Meeh,http://stylemeeh.blogspot.com/,,"Mysore , India",http://www.in-fb.com/p/infb-directory.html,Fashion obsessed blogger.. http://stylemeeh.blogspot.com India   stylemeeh.blogspot.com
,Fashion Fiesta,http://hfashiontrends.blogspot.in/,HIMANI,"Noida , India",http://www.in-fb.com/p/infb-directory.html,I am trying to learn fashion from last 9 yrs.... :)... have learnt few so started jotting them
,Looking good feeling fab,http://www.lookinggoodfeelingfab.com/,Abhilasha,"Pune , India",http://www.in-fb.com/p/infb-directory.html,"I am a girl in my 30’s and I live in Pune (India) with my big joint family. I studied electronics engineering and at the end of the 4 years my biggest learning was that engineering is not for me. So I did the next best thing, hopped on to the MBA bandwagon to avoid the IT companies."
,PINK and everything,http://bhakti-pinkandeverythingthatgirlswant.blogspot.in/,Bhakti Khade Rangoonwala,"Pune , India",http://www.in-fb.com/p/infb-directory.html,"One head many hats .. Dabbling in things that I love,, travel. Shopping, music, food, fashion, fun,, life.. Lover of life ..."
Blog not found,Whimsy Winks,http://whimsy-winks.blogspot.in/,,"Pune , India",http://www.in-fb.com/p/infb-directory.html,
,Fashion Awkward,http://fashionawkward.blogspot.in/,McLeod,"Secunderabad , India",http://www.in-fb.com/p/infb-directory.html,"Hence, this place. To blog about the struggles, victories and headfalls...to understand fashion, the trends and such, all the while trying to look decently smart enough without burning a hole in my pocket. Accepting that when it comes to fashion and style, I am awkward, but I enjoy the learning process."
Name Missing,Everything Fusion,http://fusionforever.wordpress.com/,,"Vadodara , India",http://www.in-fb.com/p/infb-directory.html,"I have been obsessed with shoes since I was 5. As I grew up, my obsession extended to junk jewellery, scarves, dresses, bags, coloured liners and shorts. I love long wavy hair, messy buns, smoky eyes, large earrings, gladiators and fuchsia. Apart from shopping, I spend my time reading crime novels, decorating my house, gardening, cooking, baking, socializing and blogging."
Blog not found,Style Diaries,http://www.stylediaries101.blogspot.in/,,"Vadodara , India",http://www.in-fb.com/p/infb-directory.html,
